Article,Code_EAN_Article,,Epaisseur,Largeur,Longueur,Nb_piece_paquet,Choix,Essence,Qualite,Article Famille,Libelle_Court,Dimension
TABCO00CLS000SV,3760102970058,,"0,000","0,000","0,0000",30,,BCO,,10TERRASSE,CLIP SIMPL,
TABCO00JUPGALSV,3760102973172,,"20,000","70,000","2000,0000",1,,BCO,GAL,10TERRASSE,JUPE,20/70
TABCO00JUPGILSV,3760102973165,,"20,000","70,000","2000,0000",1,,BCO,GIL,10TERRASSE,JUPE,20/70
TABCO00JUPIPLSV,3760102973173,,"20,000","70,000","2000,0000",1,,BCO,IPL,10TERRASSE,JUPE,20/70
TABCO00JUPLBCSV,3760102973141,,"20,000","70,000","2000,0000",1,,BCO,LBC,10TERRASSE,JUPE,20/70
TAELO00LBERABAS,942602823160,,"42,000","60,000","3160,0000",1,,,RAB,10TERRASSE,42/60/3160,42/60
TAELO00LBERABAS,942602822550,,"42,000","60,000","2550,0000",1,,,RAB,10TERRASSE,42/60/2550,42/60
TAELO00LBERABAS,942602822450,,"42,000","65,000","2450,0000",1,,,RAB,10TERRASSE,42/65/2450,42/65
TAELO00LBERABAS,942602822150,,"42,000","65,000","2150,0000",1,,,RAB,10TERRASSE,42/65/2150,42/65
TAELO00LBERABAS,942602822280,,"42,000","60,000","2280,0000",1,,,RAB,10TERRASSE,42/60/2280,42/60
TAELO00LBERABAS,942602822250,,"42,000","60,000","2250,0000",1,,,RAB,10TERRASSE,42/60/2250,42/60
